playerID,name,position,leagueID
1740,Paul Pogba,MC,Premier League
1764,Ramadan Sobhi,Sub,Premier League
1657,Steven Defour,MC,Premier League
1662,Aiden O&#039;Neill,Sub,Premier League
1669,Marko Grujic,MC,Bundesliga
1692,Shaun Maloney,Sub,Premier League
1726,Abdoulaye Doucouré,MC,Premier League
1017,Matej Vydra,Sub,Premier League
1785,Nampalys Mendy,DMC,Ligue 1
1071,Papy Djilobodji,DC,Ligue 1
1754,Joel Asoro,Sub,Premier League
1709,Cristhian Stuani,FW,La Liga
1718,Daniel Ayala,DC,Premier League
1672,Jonathan Calleri,FW,La Liga
1675,Ashley Fletcher,Sub,Premier League
1683,Ryan Fraser,ML,Premier League
971,Harry Winks,Sub,Premier League
332,Joel Matip,DC,Premier League
1725,Christian Kabasele,DC,Premier League
1723,Roberto Pereyra,AMC,Premier League
1724,Isaac Success,Sub,Premier League
91,Ron-Robert Zieler,GK,Bundesliga
1736,Oliver McBurnie,FW,Premier League
1719,Javier Manquillo,DR,Premier League
1665,James Tarkowski,DC,Premier League
1670,Steve Mandanda,GK,Ligue 1
1687,Harry Maguire,DC,Premier League
1713,Viktor Fischer,Sub,Bundesliga
1713,Viktor Fischer,Sub,Premier League
1731,Claudio Bravo,GK,La Liga
337,Leroy Sané,FWL,Premier League
1765,Jonathan Benteke,Sub,Premier League
1743,Bruno Martins Indi,DC,Premier League
1699,Shkodran Mustafi,DC,Premier League
1700,Lucas Pérez,FW,La Liga
1746,Jeff Hendrick,MC,Premier League
1642,Simone Zaza,FW,Serie A
1763,Stefano Okaka,FW,Serie A
1039,Jason Denayer,DC,Ligue 1
1720,Didier Ndong,MC,Ligue 1
1676,David Luiz,DC,Premier League
1682,Islam Slimani,Sub,Premier League
314,Ilkay Gündogan,MC,Premier League
1055,Aleix García,Sub,La Liga
1738,Hal Robson-Kanu,Sub,Premier League
1674,Sofiane Feghouli,Sub,La Liga
1701,Borja Bastón,FW,La Liga
1714,Jordan Rhodes,Sub,Premier League
1729,Georges-Kévin Nkoudou,AML,Ligue 1
1742,Lee Grant,GK,Premier League
1671,Ezekiel Fryers,Sub,Premier League
1702,Mike van der Hoorn,DC,Premier League
37,Loris Karius,GK,Bundesliga
1684,David Marshall,GK,Premier League
1696,Markus Henriksen,Sub,Premier League
1621,Marcos Alonso,DML,Premier League
1704,Álvaro Arbeloa,Sub,La Liga
1673,Edimilson Fernandes,Sub,Premier League
1668,Michael Kightly,Sub,Premier League
1677,Nathaniel Chalobah,Sub,Premier League
725,Ola Aina,DML,Serie A
1733,Sam McQueen,Sub,Premier League
1727,Alfie Mawson,DC,Premier League
1744,Michael Dawson,DC,Premier League
1734,Sofiane Boufal,Sub,Premier League
1410,Rafael,GK,Serie A
1842,Eros Pisano,DR,Serie A
1853,Vangelis Moras,DC,Serie A
2034,Rafael Márquez,DC,Serie A
1954,Samuel Souprayen,DL,Serie A
1151,Emil Hallfredsson,MC,Serie A
1996,Leandro Greco,MC,Serie A
1221,Jacopo Sala,DR,Serie A
1959,Bosko Jankovic,FWR,Serie A
1955,Luca Toni,FW,Serie A
1851,Juanito Gómez,FWL,Serie A
1849,Rômulo,MC,Serie A
1847,Giampaolo Pazzini,Sub,Serie A
1846,Luca Siligardi,Sub,Serie A
1244,Wojciech Szczesny,GK,Serie A
1254,Alessandro Florenzi,DR,Serie A
1179,Leandro Castán,DC,Serie A
1246,Kostas Manolas,DC,Serie A
